,steering
-0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,-0.002913915319375
6.0,0.0
7.0,-0.024318165611476667
8.0,-0.09847279141356667
9.0,-0.15997561812433334
10.0,-0.18800445646049999
11.0,-0.20700089633466665
12.0,-0.21242462098599998
13.0,-0.23051085074766667
14.0,-0.27753612399099997
15.0,-0.34672078490275
16.0,-0.11267380416399998
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,-0.008041627414066332
45.0,0.0
46.0,0.0
47.0,0.0
48.0,-0.011661015315156334
49.0,-0.03336128219963334
50.0,-0.0369753167033
51.0,-0.038785010576225
52.0,-0.038785010576233334
53.0,-0.0351656228304
54.0,-0.0369753167033
55.0,-0.04783347994086667
56.0,-0.046928633004400006
57.0,-0.04240439832206666
58.0,-0.04059470444913333
59.0,-0.04240439832206666
60.0,-0.04059470444913333
61.0,-0.051000444218499995
62.0,-0.0550722554326
63.0,-0.0677294060588
64.0,-0.08220160752533334
65.0,-0.10028248280303333
66.0,-0.12289161235099999
67.0,-0.13465060790366667
68.0,-0.14007968703866666
69.0,-0.14550877114133334
70.0,-0.14369907478466667
71.0,-0.144603922963
72.0,-0.14550877114133334
73.0,-0.14369907478466667
74.0,-0.140079687039
75.0,-0.1274118324123333
76.0,-0.11204147897675001
77.0,-0.0894350285331
78.0,-0.07134344180426667
79.0,-0.06772405157486668
80.0,-0.056876597305133336
81.0,-0.01708474372574225
82.0,-0.0020755263976766666
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,-0.0005423728143793333
90.0,-0.0023467128048663332
91.0,-0.001963424409042
92.0,0.0
93.0,0.0
94.0,-0.04060005769133333
95.0,-0.08762533466019999
96.0,-0.1066164113585
97.0,-0.11295033991333332
98.0,-0.11114064604066669
99.0,-0.12198810279366668
100.0,-0.14550342162433336
101.0,-0.17805649340133334
102.0,-0.19071899727
103.0,-0.19976747532666664
104.0,-0.19795777897033331
105.0,-0.19976747532666664
106.0,-0.19433839122433336
107.0,-0.1391708254815
108.0,-0.12198275327700002
109.0,-0.08582099278756666
110.0,-0.00027118640718966667
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,-0.001963424409042
118.0,-0.004156406833023
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,-0.011118642985833335
124.0,-0.07858221729596666
125.0,-0.10028248280293332
126.0,-0.10209217667596666
127.0,-0.10118732973945
128.0,-0.11475468178600001
129.0,-0.13103122015799998
130.0,-0.14731311301366667
131.0,-0.163589651386
132.0,-0.18257939070475
133.0,-0.19252868990133332
134.0,-0.19252868990133332
135.0,-0.19252868990133332
136.0,-0.19252868990133332
137.0,-0.19207626581224999
138.0,-0.19252868990133332
139.0,-0.190718993545
140.0,-0.19071899851166665
141.0,-0.17444246013966666
142.0,-0.158160571009
143.0,-0.15635087589433333
144.0,-0.15454118450466667
145.0,-0.152731493115
146.0,-0.15092715124266667
147.0,-0.14053210988625
148.0,-0.012928336858733333
149.0,0.0
150.0,0.0
151.0,0.0
152.0,0.0
153.0,0.0
154.0,0.0
155.0,0.0
156.0,0.0
157.0,0.0
158.0,0.0
159.0,0.0
160.0,0.0
161.0,0.0
162.0,0.0
163.0,0.0
164.0,-0.0038852204258333334
